Date,Price,Open,High,Low
8/13/2014,1.091,1.0924,1.0942,1.0904
8/14/2014,1.0899,1.0913,1.0923,1.0885
8/15/2014,1.0893,1.0904,1.092,1.0858
8/18/2014,1.0885,1.0892,1.0901,1.0873
8/19/2014,1.094,1.0888,1.0951,1.0883
8/20/2014,1.0966,1.0942,1.0975,1.093
8/21/2014,1.0941,1.097,1.0988,1.0938
8/22/2014,1.0944,1.0941,1.0981,1.0926
8/25/2014,1.0982,1.0956,1.0988,1.0942
8/26/2014,1.0949,1.0986,1.0999,1.0939
8/27/2014,1.0863,1.0953,1.0958,1.0826
8/28/2014,1.086,1.0865,1.0871,1.0834
8/29/2014,1.0875,1.0862,1.0881,1.0809
9/1/2014,1.087,1.0877,1.088,1.0855
9/2/2014,1.0926,1.0871,1.0937,1.0866
9/3/2014,1.0886,1.0929,1.0944,1.0868
9/4/2014,1.0874,1.0888,1.0911,1.0819
9/5/2014,1.0878,1.0871,1.0903,1.0841
9/8/2014,1.0973,1.0884,1.0984,1.088
9/9/2014,1.0979,1.0974,1.1033,1.0963
9/10/2014,1.0932,1.0985,1.1016,1.0932
9/11/2014,1.103,1.0937,1.106,1.0932
9/12/2014,1.1092,1.1035,1.1099,1.1028
9/15/2014,1.1053,1.1093,1.1101,1.1034
9/16/2014,1.0967,1.1054,1.1073,1.0964
9/17/2014,1.0996,1.0974,1.1021,1.0925
9/18/2014,1.0932,1.0998,1.1025,1.0927
9/19/2014,1.0961,1.0936,1.0982,1.0886
9/22/2014,1.1043,1.0953,1.1045,1.0926
9/23/2014,1.1075,1.1043,1.1085,1.0983
9/24/2014,1.1055,1.1079,1.1123,1.1051
9/25/2014,1.1108,1.1058,1.1128,1.1054
9/26/2014,1.115,1.111,1.117,1.109
9/29/2014,1.1161,1.1155,1.118,1.1128
9/30/2014,1.1196,1.1165,1.1221,1.1132
10/1/2014,1.1162,1.1197,1.1225,1.1159
10/2/2014,1.1154,1.1164,1.118,1.1069
10/3/2014,1.1242,1.1158,1.1271,1.1153
10/6/2014,1.113,1.1254,1.1267,1.1109
10/7/2014,1.1172,1.1132,1.1198,1.1126
10/8/2014,1.1105,1.1174,1.1212,1.1092
10/9/2014,1.1183,1.1107,1.1189,1.1079
10/10/2014,1.1198,1.1186,1.1223,1.116
10/13/2014,1.1196,1.1178,1.1221,1.117
10/14/2014,1.1293,1.1198,1.1315,1.1186
10/15/2014,1.1253,1.1297,1.1387,1.1224
10/16/2014,1.1254,1.1254,1.1362,1.1227
10/17/2014,1.1275,1.1258,1.1284,1.1208
10/20/2014,1.1283,1.1271,1.1295,1.125
10/21/2014,1.1218,1.1284,1.1298,1.1201
10/22/2014,1.1236,1.1223,1.1295,1.1183
10/23/2014,1.1228,1.1239,1.1265,1.1205
10/24/2014,1.1229,1.1229,1.1245,1.1192
10/27/2014,1.1244,1.1237,1.1257,1.1212
10/28/2014,1.1164,1.1247,1.1254,1.1163
10/29/2014,1.1178,1.1166,1.1225,1.112
10/30/2014,1.1185,1.1183,1.1225,1.1162
10/31/2014,1.1265,1.1187,1.1334,1.1179
11/3/2014,1.1357,1.1266,1.1378,1.1263
11/4/2014,1.1408,1.1358,1.1428,1.1338
11/5/2014,1.1385,1.141,1.1468,1.1369
11/6/2014,1.1421,1.1386,1.1445,1.1377
11/7/2014,1.1326,1.1423,1.145,1.131
11/10/2014,1.1378,1.133,1.1386,1.1299
11/11/2014,1.133,1.1381,1.1403,1.1315
