order_id,order_number,order_date,fk_order_date,fk_customer,fk_product,order_item_id,unit_price,discount_value,price_paid
22621920,493077434,2020-11-05,20201105,2027,6572,22648312,17.94,17.94,0.00
22626054,511735434,2020-11-05,20201105,1064,24454,22652446,4.99,4.99,0.00
22775312,428744034,2020-11-12,20201112,2027,35146,22801704,78.93,0.00,78.93
22815086,574505834,2020-11-12,20201112,1064,35148,22841478,133.95,0.00,133.95
22857600,589877834,2020-11-12,20201112,1064,6572,22883992,11.96,11.96,0.00
22866076,538555834,2020-11-12,20201112,2027,6572,22892468,17.94,17.94,0.00
23013552,591223634,2020-11-19,20201119,2027,35150,23039946,99.98,0.00,99.98
23048770,469765234,2020-11-19,20201119,1064,35148,23075162,133.95,0.00,133.95
23102532,507355234,2020-11-19,20201119,1064,6572,23128924,11.96,11.96,0.00
23109786,511251234,2020-11-19,20201119,2027,6572,23136180,11.96,11.96,0.00
23112170,456731234,2020-11-19,20201119,1064,24454,23138562,4.99,4.99,0.00
23271926,575768834,2020-11-26,20201126,1064,35148,23298318,133.95,0.00,133.95
23362010,451382834,2020-11-26,20201126,1064,24454,23388402,4.99,4.99,0.00
23393072,439509014,2020-11-27,20201127,2027,45904,23419464,139.99,97.99,42.00
23450802,482455014,2020-12-02,20201202,1064,45906,23477194,237.98,166.59,71.39
23458182,499315014,2020-12-03,20201203,1064,35148,23484574,133.95,0.00,133.95
23574354,496774614,2020-12-03,20201203,2027,35146,23600746,78.93,0.00,78.93
23645322,517465414,2020-12-03,20201203,1064,24454,23671714,4.99,4.99,0.00
23758704,519946014,2020-12-10,20201210,1064,35152,23785096,164.98,0.00,164.98
23872828,463525814,2020-12-10,20201210,2027,35154,23899220,119.90,0.00,119.90
23880318,484225814,2020-12-10,20201210,1064,6572,23906710,23.96,23.96,0.00
23889420,512953814,2020-12-10,20201210,2027,6572,23915812,23.90,23.90,0.00
23903376,497559814,2020-12-10,20201210,2027,24454,23929768,12.99,12.99,0.00
24023762,454439614,2020-12-17,20201217,1064,35148,24050154,133.95,0.00,133.95
24080730,493247614,2020-12-17,20201217,2027,35150,24107122,99.98,0.00,99.98
24096368,430729214,2020-12-17,20201217,1064,6572,24122760,7.96,7.96,0.00
24115152,590305214,2020-12-17,20201217,2027,24454,24141544,12.99,12.99,0.00
24177624,499171214,2020-12-24,20201224,2027,35150,24204016,99.98,0.00,99.98
24264022,474696414,2020-12-24,20201224,1064,35148,24290414,133.95,0.00,133.95
24388776,511756814,2020-12-31,20201231,2027,35146,24415168,78.93,0.00,78.93
24441024,593946814,2020-12-31,20201231,1064,35148,24467416,133.95,0.00,133.95
24529716,510590994,2020-12-31,20201231,1064,24454,24556108,4.99,4.99,0.00
24631564,478854594,2021-01-07,20210107,1064,35148,24657956,133.95,0.00,133.95
24679948,469226594,2021-01-07,20210107,2027,35146,24706340,78.93,0.00,78.93
24799258,534867394,2021-01-07,20210107,2027,6572,24825650,11.94,11.94,0.00
24946686,514453794,2021-01-14,20210114,2027,35154,24973078,119.90,0.00,119.90
24994070,445115794,2021-01-14,20210114,1064,35148,25020462,133.95,0.00,133.95
25112680,552835594,2021-01-14,20210114,1064,24454,25139070,4.99,4.99,0.00
25116248,433691594,2021-01-14,20210114,2027,24454,25142640,4.99,4.99,0.00
25238668,467991194,2021-01-21,20210121,2027,35154,25265064,119.90,0.00,119.90
25312224,588672394,2021-01-21,20210121,1064,35152,25338616,164.98,0.00,164.98
25393966,554648794,2021-01-21,20210121,1064,6572,25420358,23.96,23.96,0.00
25406246,439844794,2021-01-21,20210121,2027,6572,25432638,41.90,41.90,0.00
25409624,573184794,2021-01-21,20210121,1064,24454,25436016,4.99,4.99,0.00
25414814,433224794,2021-01-21,20210121,2027,24454,25441206,4.99,4.99,0.00
25550006,562698954,2021-01-28,20210128,1064,35148,25576398,133.95,0.00,133.95
25661648,427752554,2021-01-28,20210128,2027,35154,25688040,119.90,0.00,119.90
25701846,484514554,2021-01-28,20210128,2027,6572,25728238,7.96,7.96,0.00
25708720,476250554,2021-01-28,20210128,1064,24454,25735112,4.99,4.99,0.00
25813920,586655354,2021-02-04,20210204,1064,35148,25840312,133.95,0.00,133.95
25927162,547437954,2021-02-04,20210204,2027,35154,25953554,119.90,0.00,119.90
25963842,598343954,2021-02-04,20210204,1064,6572,25990234,11.96,11.96,0.00
25976396,423947954,2021-02-04,20210204,1064,24454,26002788,4.99,4.99,0.00
25978232,425107954,2021-02-04,20210204,2027,6572,26004624,23.90,23.90,0.00
25980776,447867954,2021-02-04,20210204,2027,24454,26007164,4.99,4.99,0.00
26076450,596923754,2021-02-11,20210211,1064,35148,26102842,133.95,0.00,133.95
26091294,485387754,2021-02-11,20210211,2027,35154,26117686,119.90,0.00,119.90
26250596,457773154,2021-02-11,20210211,2027,6572,26276988,7.96,7.96,0.00
26261494,550739154,2021-02-11,20210211,2027,24454,26287886,4.99,4.99,0.00
26403352,559254354,2021-02-18,20210218,1064,35152,26429744,164.98,0.00,164.98
26447638,471566354,2021-02-18,20210218,2027,35154,26474030,119.90,0.00,119.90
26516040,489516754,2021-02-18,20210218,2027,6572,26542432,17.94,17.94,0.00
26531240,562634754,2021-02-18,20210218,1064,24454,26557632,4.99,4.99,0.00
26533226,429890754,2021-02-18,20210218,2027,24454,26559618,4.99,4.99,0.00
26544096,504230754,2021-02-19,20210219,3666,35138,26570488,154.99,120.00,34.99
26667392,573922874,2021-02-25,20210225,2027,35154,26693744,119.90,0.00,119.90
26745414,486256474,2021-02-25,20210225,1064,35148,26771766,133.95,0.00,133.95
26785936,529122474,2021-02-25,20210225,2027,6572,26812288,23.90,23.90,0.00
26906524,559963274,2021-03-04,20210304,2027,35154,26932876,119.90,0.00,119.90
26919908,449567274,2021-03-04,20210304,3666,35138,26946260,154.99,100.00,54.99
26923232,436307274,2021-03-04,20210304,1064,35148,26949584,133.95,0.00,133.95
27041796,518427874,2021-03-04,20210304,2027,6572,27068148,11.94,11.94,0.00
27045836,458689674,2021-03-04,20210304,3666,24454,27072190,4.99,0.00,4.99
27160924,470227674,2021-03-11,20210311,2027,35154,27187276,119.90,0.00,119.90
